"_id","_index","_score","_type","@timestamp","@version","alert_text",eventid,host,message,password,timestamp,username,"src_ip",session,path,sensor
"B_dE1pcBuG2woOv8PETL","cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:28:05.599",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:28:05.308",root,"127.0.0.1",22d6c79d2793,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
BvdE1pcBuG2woOv8MUQN,"cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:28:02.591",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:28:01.959",root,"127.0.0.1",22d6c79d2793,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
BfdE1pcBuG2woOv8JURN,"cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:59.583",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:27:58.956",root,"127.0.0.1",22d6c79d2793,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
BPdE1pcBuG2woOv8FUSO,"cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:55.557",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:27:54.933",root,"127.0.0.1",87a3e954eb0a,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
"A_dE1pcBuG2woOv8CUTU","cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:52.551",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:27:52.099",root,"127.0.0.1",87a3e954eb0a,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
"AvdD1pcBuG2woOv8_kQT","cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:49.545",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:27:48.909",root,"127.0.0.1",87a3e954eb0a,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
AfdD1pcBuG2woOv86kRw,"cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:44.519",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:27:44.449",root,"127.0.0.1",5bbc6ab24d64,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
APdD1pcBuG2woOv83kSy,"cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:41.511",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:27:41.500",root,"127.0.0.1",5bbc6ab24d64,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
"__dD1pcBuG2woOv81kPc","cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:39.506",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:27:38.652",root,"127.0.0.1",5bbc6ab24d64,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
"_vdD1pcBuG2woOv8x0Mu","cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:35.491",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:27:34.646",root,"127.0.0.1",335e304d008f,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
"_fdD1pcBuG2woOv8u0Nx","cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:32.486",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/[Ahata] failed","[Ahata","Jul 4, 2025 @ 22:27:31.726",root,"127.0.0.1",335e304d008f,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
"_PdD1pcBuG2woOv8q0PO","cowrie-2025.07.04","-","_doc","Jul 4, 2025 @ 19:27:28.478",1,"Cowrie: Failed SSH login! User: root, IP: 127.0.0.1","cowrie.login.failed","oznur-VMware","login attempt [root/hata] failed",hata,"Jul 4, 2025 @ 22:27:27.943",root,"127.0.0.1",335e304d008f,"/home/cowrie/cowrie/var/log/cowrie/cowrie.json","oznur-VMware"
